id,event_uei,name,reduction_key,clear_key,event_type,enterprise_id,vendor
43,http://uei.opennms.org/vendor/Nokia/traps/systemTrapDiskMirrorSetDelete,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.1,Nokia
44,http://uei.opennms.org/vendor/Nokia/traps/systemTrapDiskMirrorSyncFailure,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.1,Nokia
45,http://uei.opennms.org/vendor/Nokia/traps/systemTrapDiskMirrorSyncSuccess,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.1,Nokia
1972,uei.opennms.org/traps/compaqhp/cpqSsEx2PowerSupplyStatusChange,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
2005,uei.opennms.org/traps/compaqhp/cpqTapePhyDrvStatusChange,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
2006,uei.opennms.org/traps/compaqhp/cpqUps2BatteryLow,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
2007,uei.opennms.org/traps/compaqhp/cpqUps2Confirmation,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
2008,uei.opennms.org/traps/compaqhp/cpqUps2LineFailed,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
46,http://uei.opennms.org/vendor/Nokia/traps/systemTrapLicense,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.1,Nokia
47,http://uei.opennms.org/vendor/Nokia/traps/systemTrapLowDiskSpace,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.1,Nokia
48,http://uei.opennms.org/vendor/Nokia/traps/systemTrapNoDiskSpace,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.1,Nokia
49,http://uei.opennms.org/vendor/Nokia/traps/systemTrapSnmpProcessShutdown,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.1,Nokia
50,http://uei.opennms.org/vendor/Novell/Groupwise/traps/adaDBRecoverError,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.39.3,Novell
51,http://uei.opennms.org/vendor/Novell/Groupwise/traps/adaDBRecoverOkay,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.39.3,Novell
52,http://uei.opennms.org/vendor/Novell/Groupwise/traps/adaDBRecoverWarn,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.39.3,Novell
53,http://uei.opennms.org/vendor/Novell/Groupwise/traps/adaFacilityBlockedTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.39.3,Novell
54,http://uei.opennms.org/vendor/Novell/Groupwise/traps/adaFacilityOpenTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.39.3,Novell
55,http://uei.opennms.org/vendor/Novell/Groupwise/traps/adaRestartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.39.3,Novell
56,http://uei.opennms.org/vendor/Novell/Groupwise/traps/adaShutdownTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.39.3,Novell
57,http://uei.opennms.org/vendor/Novell/Groupwise/traps/adaStartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.39.3,Novell
58,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwPAGERFgnLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.43.1,Novell
59,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwPAGERGroupWiseLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.43.1,Novell
60,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwPAGERRestartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.43.1,Novell
61,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwPAGERStartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.43.1,Novell
62,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwPAGERStopTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.43.1,Novell
63,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiaGroupWiseLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
64,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiaGwholdThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
65,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiaGwprobThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
66,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiaInSizeThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
67,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiaMovedToProbTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
68,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiaOutSizeThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
69,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiaRestartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
70,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiaStartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
71,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiaStopTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
72,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiaWpcsinThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
73,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiaWpcsoutThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
74,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiasmtpDeferThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
75,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiasmtpReadErrorTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
76,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiasmtpReceiveThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
77,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiasmtpSendThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
78,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwiasmtpWriteErrorTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.70.3,Novell
79,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpDeferThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
80,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpGroupWiseLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
81,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpGwholdThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
82,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpGwprobThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
83,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpInSizeThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
84,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpMovedToProbTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
85,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpOutSizeThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
86,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpReadErrorTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
87,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpReceiveThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
88,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpRestartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
89,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpSendThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
90,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpStartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
91,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpStopTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
92,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpWpcsinThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
93,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpWpcsoutThreshTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
94,http://uei.opennms.org/vendor/Novell/Groupwise/traps/gwsmtpWriteErrorTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.51.3,Novell
95,http://uei.opennms.org/vendor/Novell/Groupwise/traps/mtaBackupOnlineTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.37.3,Novell
96,http://uei.opennms.org/vendor/Novell/Groupwise/traps/mtaBackupStandbyTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.37.3,Novell
97,http://uei.opennms.org/vendor/Novell/Groupwise/traps/mtaConfigurationLoadedTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.37.3,Novell
98,http://uei.opennms.org/vendor/Novell/Groupwise/traps/mtaFacilityClosedTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.37.3,Novell
99,http://uei.opennms.org/vendor/Novell/Groupwise/traps/mtaFacilityOpenedTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.37.3,Novell
100,http://uei.opennms.org/vendor/Novell/Groupwise/traps/mtaRestartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.37.3,Novell
101,http://uei.opennms.org/vendor/Novell/Groupwise/traps/mtaShutdownTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.37.3,Novell
102,http://uei.opennms.org/vendor/Novell/Groupwise/traps/mtaStartupTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.37.3,Novell
103,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwAPIFgnLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.8.1,Novell
104,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwAPIGroupWiseLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.8.1,Novell
105,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwAPIRestartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.8.1,Novell
106,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwAPIStartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.8.1,Novell
107,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwAPIStopTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.8.1,Novell
108,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwasyncGroupWiseLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.1.1,Novell
109,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwasyncRestartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.1.1,Novell
110,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwasyncStartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.1.1,Novell
111,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwasyncStopTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.1.1,Novell
112,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwovvmFgnLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.2.1,Novell
113,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwovvmGroupWiseLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.2.1,Novell
114,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwovvmRestartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.2.1,Novell
115,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwovvmStartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.2.1,Novell
